park_id,land_id,land_name,ride_id,ride_name,is_open,wait_time,last_updated_utc,ingested_at_utc,source,raw_file,last_updated_local,date,hour,day_of_week,day_of_week_num,month,year,is_weekend,time_period
319,,,11329,Autopista (bate-bate),True,20,2026-05-21 20:25:17+00:00,2026-05-21 20:28:25.006649+00:00,queue-times.com,D:\Documents\GitHub\BCWflow\data\raw\queue_times\park_id=319\2026-05-21\queue_times_20260521T202825Z.json,2026-05-21 17:25:17-03:00,2026-05-21,17,Thursday,3,5,2026,False,afternoon
319,,,11330,Baby Elefante,True,20,2026-05-21 20:25:17+00:00,2026-05-21 20:28:25.006649+00:00,queue-times.com,D:\Documents\GitHub\BCWflow\data\raw\queue_times\park_id=319\2026-05-21\queue_times_20260521T202825Z.json,2026-05-21 17:25:17-03:00,2026-05-21,17,Thursday,3,5,2026,False,afternoon
319,,,11340,Barco Pirata,True,10,2026-05-21 20:25:17+00:00,2026-05-21 20:28:25.006649+00:00,queue-times.com,D:\Documents\GitHub\BCWflow\data\raw\queue_times\park_id=319\2026-05-21\queue_times_20260521T202825Z.json,2026-05-21 17:25:17-03:00,2026-05-21,17,Thursday,3,5,2026,False,afternoon
319,,,13872,Betinho Carrero 2D,True,0,2026-05-21 20:25:17+00:00,2026-05-21 20:28:25.006649+00:00,queue-times.com,D:\Documents\GitHub\BCWflow\data\raw\queue_times\park_id=319\2026-05-21\queue_times_20260521T202825Z.json,2026-05-21 17:25:17-03:00,2026-05-21,17,Thursday,3,5,2026,False,afternoon
319,,,11459,Big Drop,True,10,2026-05-21 20:25:17+00:00,2026-05-21 20:28:25.006649+00:00,queue-times.com,D:\Documents\GitHub\BCWflow\data\raw\queue_times\park_id=319\2026-05-21\queue_times_20260521T202825Z.json,2026-05-21 17:25:17-03:00,2026-05-21,17,Thursday,3,5,2026,False,afternoon
319,,,11366,Carrossel Veneziano,True,5,2026-05-21 20:25:17+00:00,2026-05-21 20:28:25.006649+00:00,queue-times.com,D:\Documents\GitHub\BCWflow\data\raw\queue_times\park_id=319\2026-05-21\queue_times_20260521T202825Z.json,2026-05-21 17:25:17-03:00,2026-05-21,17,Thursday,3,5,2026,False,afternoon
319,,,11363,Casa do Projeto Tamar,True,0,2026-05-21 20:25:17+00:00,2026-05-21 20:28:25.006649+00:00,queue-times.com,D:\Documents\GitHub\BCWflow\data\raw\queue_times\park_id=319\2026-05-21\queue_times_20260521T202825Z.json,2026-05-21 17:25:17-03:00,2026-05-21,17,Thursday,3,5,2026,False,afternoon
319,,,11364,Castelo das Nações,True,0,2026-05-21 20:25:17+00:00,2026-05-21 20:28:25.006649+00:00,queue-times.com,D:\Documents\GitHub\BCWflow\data\raw\queue_times\park_id=319\2026-05-21\queue_times_20260521T202825Z.json,2026-05-21 17:25:17-03:00,2026-05-21,17,Thursday,3,5,2026,False,afternoon
319,,,11353,Chapéu e Bota Gigante,True,0,2026-05-21 20:25:17+00:00,2026-05-21 20:28:25.006649+00:00,queue-times.com,D:\Documents\GitHub\BCWflow\data\raw\queue_times\park_id=319\2026-05-21\queue_times_20260521T202825Z.json,2026-05-21 17:25:17-03:00,2026-05-21,17,Thursday,3,5,2026,False,afternoon
319,,,13873,Esculturas Romero Britto,True,0,2026-05-21 20:25:17+00:00,2026-05-21 20:28:25.006649+00:00,queue-times.com,D:\Documents\GitHub\BCWflow\data\raw\queue_times\park_id=319\2026-05-21\queue_times_20260521T202825Z.json,2026-05-21 17:25:17-03:00,2026-05-21,17,Thursday,3,5,2026,False,afternoon
319,,,11345,Estação João Alves de Queiroz,True,0,2026-05-21 20:25:17+00:00,2026-05-21 20:28:25.006649+00:00,queue-times.com,D:\Documents\GitHub\BCWflow\data\raw\queue_times\park_id=319\2026-05-21\queue_times_20260521T202825Z.json,2026-05-21 17:25:17-03:00,2026-05-21,17,Thursday,3,5,2026,False,afternoon
